mf,c
http://example.org/music_feelings_onto#minorsecondinterval_instance,1692
http://example.org/music_feelings_onto#slowtempo_instance,1666
http://example.org/music_feelings_onto#majorsecondinterval_instance,1644
http://example.org/music_feelings_onto#andante_instance,1395
http://example.org/music_feelings_onto#majormode_instance,1287
http://example.org/music_feelings_onto#highpitch_instance,1265
http://example.org/music_feelings_onto#undulatingmelody_instance,1143
http://example.org/music_feelings_onto#narrowpitchrange_instance,1046
http://example.org/music_feelings_onto#unisoninterval_instance,984
http://example.org/music_feelings_onto#minormode_instance,982
http://example.org/music_feelings_onto#mediumpitch_instance,909
http://example.org/music_feelings_onto#minorthirdinterval_instance,903
http://example.org/music_feelings_onto#perfectfourthinterval_instance,722
http://example.org/music_feelings_onto#majorthirdinterval_instance,613
http://example.org/music_feelings_onto#descendingmelody_instance,555
http://example.org/music_feelings_onto#mediumtempo_instance,497
http://example.org/music_feelings_onto#moderato_instance,497
http://example.org/music_feelings_onto#ascendingmelody_instance,477
http://example.org/music_feelings_onto#perfectfifthinterval_instance,450
http://example.org/music_feelings_onto#widepitchrange_instance,413
http://example.org/music_feelings_onto#adagio_instance,271
http://example.org/music_feelings_onto#majorsixthinterval_instance,255
http://example.org/music_feelings_onto#augmentedfourthinterval_instance,232
http://example.org/music_feelings_onto#minorsixthinterval_instance,213
http://example.org/music_feelings_onto#minorseventhinterval_instance,125
http://example.org/music_feelings_onto#fasttempo_instance,106
http://example.org/music_feelings_onto#allegrotempo_instance,106
http://example.org/music_feelings_onto#octaveinterval_instance,102
http://example.org/music_feelings_onto#majorseventhinterval_instance,45
