mf,c
http://example.org/music_feelings_onto#highpitch_instance,580
http://example.org/music_feelings_onto#majorsecondinterval_instance,525
http://example.org/music_feelings_onto#minorsecondinterval_instance,506
http://example.org/music_feelings_onto#fasttempo_instance,490
http://example.org/music_feelings_onto#minormode_instance,489
http://example.org/music_feelings_onto#undulatingmelody_instance,458
http://example.org/music_feelings_onto#majormode_instance,446
http://example.org/music_feelings_onto#widepitchrange_instance,424
http://example.org/music_feelings_onto#allegrotempo_instance,396
http://example.org/music_feelings_onto#minorthirdinterval_instance,376
http://example.org/music_feelings_onto#piano_instance,357
http://example.org/music_feelings_onto#perfectfourthinterval_instance,329
http://example.org/music_feelings_onto#forte_instance,316
http://example.org/music_feelings_onto#mediumpitch_instance,305
http://example.org/music_feelings_onto#slowtempo_instance,295
http://example.org/music_feelings_onto#majorthirdinterval_instance,259
http://example.org/music_feelings_onto#narrowpitchrange_instance,254
http://example.org/music_feelings_onto#descendingmelody_instance,227
http://example.org/music_feelings_onto#unisoninterval_instance,226
http://example.org/music_feelings_onto#ascendingmelody_instance,212
http://example.org/music_feelings_onto#perfectfifthinterval_instance,193
http://example.org/music_feelings_onto#majorsixthinterval_instance,169
http://example.org/music_feelings_onto#octaveinterval_instance,165
http://example.org/music_feelings_onto#mediumtempo_instance,150
http://example.org/music_feelings_onto#moderato_instance,150
http://example.org/music_feelings_onto#adagio_instance,148
http://example.org/music_feelings_onto#augmentedfourthinterval_instance,133
http://example.org/music_feelings_onto#staccato_instance,132
http://example.org/music_feelings_onto#minorsixthinterval_instance,125
http://example.org/music_feelings_onto#accent_instance,117
http://example.org/music_feelings_onto#pianissimo_instance,112
http://example.org/music_feelings_onto#crescendo_instance,98
http://example.org/music_feelings_onto#diminuendo_instance,95
http://example.org/music_feelings_onto#minorseventhinterval_instance,83
http://example.org/music_feelings_onto#grave_instance,49
http://example.org/music_feelings_onto#largotempo_instance,49
http://example.org/music_feelings_onto#prestotempo_instance,49
http://example.org/music_feelings_onto#andante_instance,49
http://example.org/music_feelings_onto#vivace_instance,45
http://example.org/music_feelings_onto#majorseventhinterval_instance,43
http://example.org/music_feelings_onto#fortissimo_instance,33
http://example.org/music_feelings_onto#lowpitch_instance,12
http://example.org/music_feelings_onto#tenuto_instance,3
