mf,c
http://example.org/music_feelings_onto#majormode_instance,490
http://example.org/music_feelings_onto#minorsecondinterval_instance,426
http://example.org/music_feelings_onto#majorsecondinterval_instance,403
http://example.org/music_feelings_onto#highpitch_instance,378
http://example.org/music_feelings_onto#forte_instance,248
http://example.org/music_feelings_onto#slowtempo_instance,245
http://example.org/music_feelings_onto#mediumtempo_instance,245
http://example.org/music_feelings_onto#moderato_instance,245
http://example.org/music_feelings_onto#undulatingmelody_instance,235
http://example.org/music_feelings_onto#minorthirdinterval_instance,218
http://example.org/music_feelings_onto#widepitchrange_instance,217
http://example.org/music_feelings_onto#descendingmelody_instance,214
http://example.org/music_feelings_onto#unisoninterval_instance,192
http://example.org/music_feelings_onto#majorthirdinterval_instance,182
http://example.org/music_feelings_onto#narrowpitchrange_instance,171
http://example.org/music_feelings_onto#perfectfourthinterval_instance,166
http://example.org/music_feelings_onto#andante_instance,147
http://example.org/music_feelings_onto#mediumpitch_instance,146
http://example.org/music_feelings_onto#piano_instance,129
http://example.org/music_feelings_onto#perfectfifthinterval_instance,119
http://example.org/music_feelings_onto#octaveinterval_instance,86
http://example.org/music_feelings_onto#ascendingmelody_instance,85
http://example.org/music_feelings_onto#majorsixthinterval_instance,84
http://example.org/music_feelings_onto#minorsixthinterval_instance,80
http://example.org/music_feelings_onto#staccato_instance,66
http://example.org/music_feelings_onto#minorseventhinterval_instance,63
http://example.org/music_feelings_onto#minormode_instance,49
http://example.org/music_feelings_onto#largotempo_instance,49
http://example.org/music_feelings_onto#fasttempo_instance,49
http://example.org/music_feelings_onto#allegrotempo_instance,49
http://example.org/music_feelings_onto#adagio_instance,49
http://example.org/music_feelings_onto#mezzoforte_instance,39
http://example.org/music_feelings_onto#augmentedfourthinterval_instance,37
http://example.org/music_feelings_onto#diminuendo_instance,19
http://example.org/music_feelings_onto#majorseventhinterval_instance,19
http://example.org/music_feelings_onto#crescendo_instance,13
http://example.org/music_feelings_onto#pianissimo_instance,12
http://example.org/music_feelings_onto#lowpitch_instance,10
http://example.org/music_feelings_onto#accent_instance,9
http://example.org/music_feelings_onto#mezzopiano_instance,3
