mf,a
http://example.org/music_feelings_onto#minorsecondinterval_instance,1518
http://example.org/music_feelings_onto#majorsecondinterval_instance,1326
http://example.org/music_feelings_onto#unisoninterval_instance,1013
http://example.org/music_feelings_onto#minorthirdinterval_instance,914
http://example.org/music_feelings_onto#majorthirdinterval_instance,635
http://example.org/music_feelings_onto#perfectfourthinterval_instance,625
http://example.org/music_feelings_onto#perfectfifthinterval_instance,312
http://example.org/music_feelings_onto#minorsixthinterval_instance,263
http://example.org/music_feelings_onto#octaveinterval_instance,237
http://example.org/music_feelings_onto#majorsixthinterval_instance,209
http://example.org/music_feelings_onto#augmentedfourthinterval_instance,209
http://example.org/music_feelings_onto#minorseventhinterval_instance,104
http://example.org/music_feelings_onto#majorseventhinterval_instance,49
