mf,a
http://example.org/music_feelings_onto#majorsecondinterval_instance,525
http://example.org/music_feelings_onto#minorsecondinterval_instance,506
http://example.org/music_feelings_onto#minorthirdinterval_instance,376
http://example.org/music_feelings_onto#perfectfourthinterval_instance,329
http://example.org/music_feelings_onto#majorthirdinterval_instance,259
http://example.org/music_feelings_onto#unisoninterval_instance,226
http://example.org/music_feelings_onto#perfectfifthinterval_instance,193
http://example.org/music_feelings_onto#majorsixthinterval_instance,169
http://example.org/music_feelings_onto#octaveinterval_instance,165
http://example.org/music_feelings_onto#augmentedfourthinterval_instance,133
http://example.org/music_feelings_onto#minorsixthinterval_instance,125
http://example.org/music_feelings_onto#minorseventhinterval_instance,83
http://example.org/music_feelings_onto#majorseventhinterval_instance,43
