mf,a
http://example.org/music_feelings_onto#minorsecondinterval_instance,426
http://example.org/music_feelings_onto#majorsecondinterval_instance,403
http://example.org/music_feelings_onto#minorthirdinterval_instance,218
http://example.org/music_feelings_onto#unisoninterval_instance,192
http://example.org/music_feelings_onto#majorthirdinterval_instance,182
http://example.org/music_feelings_onto#perfectfourthinterval_instance,166
http://example.org/music_feelings_onto#perfectfifthinterval_instance,119
http://example.org/music_feelings_onto#octaveinterval_instance,86
http://example.org/music_feelings_onto#majorsixthinterval_instance,84
http://example.org/music_feelings_onto#minorsixthinterval_instance,80
http://example.org/music_feelings_onto#minorseventhinterval_instance,63
http://example.org/music_feelings_onto#augmentedfourthinterval_instance,37
http://example.org/music_feelings_onto#majorseventhinterval_instance,19
